CustomerID,Gender,Age,TenureMonths,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,HasOnlineSupport,HasPhoneService,HasExtraServices,Churn,ChurnFlag,ChurnProbability,RiskSegment
C0001,Male,38,2,Month-to-month,Credit card,80.06,220.98,Yes,Yes,Yes,Yes,1,0.3176521347109998,Medium
C0002,Female,49,11,Month-to-month,Bank transfer,71.57,863.34,No,Yes,Yes,No,0,0.3678712151804268,Medium
C0003,Male,40,51,Two year,Credit card,111.94,5758.86,Yes,Yes,No,No,0,0.18549183444818543,Low
C0004,Male,50,39,One year,Bank transfer,69.7,2696.72,Yes,Yes,Yes,No,0,0.08272485284657906,Low
C0005,Male,20,38,Month-to-month,Bank transfer,119.22,4550.55,Yes,Yes,Yes,Yes,1,0.3390288883415195,Medium
C0006,Female,35,60,Two year,Direct debit,105.14,6307.19,Yes,Yes,Yes,Yes,1,0.18144082516271473,Low
C0007,Male,42,34,Month-to-month,Direct debit,40.85,1343.71,Yes,Yes,No,No,0,0.2359052492348275,Low
C0008,Male,59,38,One year,Direct debit,113.06,4312.5,Yes,Yes,No,Yes,1,0.20189070032064121,Low
C0009,Male,48,50,Month-to-month,Bank transfer,31.64,1523.05,No,Yes,Yes,No,0,0.12476233127840884,Low
C0010,Female,20,34,Month-to-month,Direct debit,101.74,3518.54,Yes,Yes,No,No,0,0.45972222894085574,Medium
C0011,Male,57,18,Month-to-month,Credit card,58.06,1021.85,Yes,Yes,No,No,0,0.2885454212268522,Low
C0012,Male,63,30,One year,Credit card,107.8,3244.06,Yes,Yes,No,No,0,0.1710309141568709,Low
C0013,Male,41,15,Month-to-month,Bank transfer,106.81,1616.31,Yes,Yes,No,No,0,0.4290977913734568,Medium
C0014,Male,67,27,Month-to-month,Bank transfer,100.59,2702.98,Yes,Yes,No,No,0,0.3888738355972588,Medium
C0015,Female,49,51,Month-to-month,Direct debit,99.0,5078.33,Yes,Yes,No,No,0,0.41294698911704525,Medium
C0016,Male,64,34,Month-to-month,Bank transfer,50.47,1692.23,Yes,Yes,No,No,0,0.2379013881387688,Low
C0017,Female,39,52,Two year,Bank transfer,28.09,1504.24,Yes,Yes,Yes,No,0,0.06320132297529844,Low
C0018,Female,40,57,Month-to-month,Credit card,60.3,3369.8,No,Yes,Yes,No,0,0.18663829478945126,Low
C0019,Female,19,38,One year,Credit card,37.35,1425.62,No,No,Yes,No,0,0.06870484821836605,Low
C0020,Male,44,33,Two year,Direct debit,89.5,3050.45,No,No,No,No,0,0.2133287802409526,Low
C0021,Female,59,24,Month-to-month,Bank transfer,54.61,1260.62,No,Yes,No,No,0,0.34824001060303283,Medium
C0022,Male,19,15,Month-to-month,Bank transfer,117.56,1729.51,Yes,Yes,Yes,No,0,0.37734944405893056,Medium
C0023,Female,43,60,Month-to-month,Credit card,84.1,5071.7,No,Yes,No,Yes,1,0.3033794233998834,Medium
C0024,Female,34,30,Month-to-month,Bank transfer,102.25,3076.48,Yes,Yes,Yes,No,0,0.36867288477245763,Medium
C0025,Female,57,55,Month-to-month,Credit card,33.25,1846.28,No,No,Yes,No,0,0.137496230157075,Low
C0026,Female,50,42,Month-to-month,Direct debit,106.2,4484.86,No,Yes,No,Yes,1,0.4800465081209685,Medium
C0027,Female,26,51,One year,Credit card,112.28,5758.02,No,Yes,Yes,No,0,0.15200886726445506,Low
C0028,Female,60,17,Month-to-month,Bank transfer,68.71,1223.55,No,No,Yes,No,0,0.34074870096238985,Medium
C0029,Female,65,5,Month-to-month,Direct debit,80.63,423.64,Yes,Yes,No,Yes,1,0.49844622269102207,Medium
C0030,Female,56,29,One year,Credit card,96.48,2785.86,Yes,Yes,No,Yes,1,0.1885224926880377,Low
C0031,Male,46,4,Month-to-month,Credit card,37.48,183.55,Yes,No,Yes,No,0,0.23489042636747637,Low
C0032,Male,59,10,Two year,Direct debit,70.26,797.59,Yes,Yes,No,No,0,0.22024452050047305,Low
C0033,Female,43,56,One year,Direct debit,59.87,3346.09,Yes,Yes,No,No,0,0.10741195167955041,Low
C0034,Female,52,17,Month-to-month,Credit card,34.64,540.15,Yes,Yes,Yes,No,0,0.23437326652992105,Low
C0035,Female,67,10,One year,Bank transfer,56.75,622.85,No,Yes,Yes,No,0,0.14734334811619962,Low
C0036,Male,42,17,Month-to-month,Credit card,26.82,449.92,Yes,Yes,No,No,0,0.22601483983506776,Low
C0037,Female,41,60,Month-to-month,Direct debit,22.58,1246.17,No,Yes,Yes,No,0,0.12982646276447665,Low
C0038,Male,30,20,Month-to-month,Credit card,33.52,712.77,No,No,No,Yes,1,0.238614169856589,Low
C0039,Male,24,24,Month-to-month,Direct debit,116.31,2764.67,No,Yes,No,Yes,1,0.4810671348593664,Medium
C0040,Male,53,5,One year,Direct debit,74.95,370.22,No,Yes,No,No,0,0.2051279390454261,Low
C0041,Male,62,34,Month-to-month,Bank transfer,116.58,3980.32,Yes,Yes,Yes,Yes,1,0.34920498340445494,Medium
C0042,Male,37,6,Month-to-month,Direct debit,63.25,389.02,No,Yes,No,No,0,0.403607807363934,Medium
C0043,Female,18,53,Month-to-month,Direct debit,51.18,2748.01,No,Yes,Yes,No,0,0.20725923753519043,Low
C0044,Female,25,2,One year,Bank transfer,70.61,119.45,Yes,Yes,Yes,No,0,0.16271267967173536,Low
